1	HD377	00:08:25.2	+06:37:3.0	2000	OMM-19C-05
2	PhiCas	01:20:04.9	+58:13:53.8	2000	OMM-19C-05
3	HD8907	01:28:34.36	+42:16:03.68	2000	OMM-19C-05
4	HD10700	01:44:0.2	-15:55:38.5	2000	OMM-19C-05
5	HD13161	02:09:32.6	+34:59:14.0	2000	OMM-19C-05
6	HD14055	02:17:17.3	+33:50:39.3	2000	OMM-19C-05
7	HD15257	02:28:9.0	+29:40:0.9	2000	OMM-19C-05
8	HD15745	02:32:53.7	+37:19:39.5	2000	OMM-19C-05
9	Algol-HD19356	03:08:6.5	+40:56:58.6	2000	OMM-19C-05
10	HIP16228	03:29:04.13	+59:56:25.21	2000	OMM-19C-05
11	HD25443	04:06:08.07	+62:06:06.62	2000	OMM-19C-05
12	HD32650	05:12:22.44	+73:56:48.04	2000	OMM-19C-05
13	KELT-7b	05:13:10.92	+33:19:05.83	2000	OMM-19C-05
14	Capella	05:16:39.9	+45:59:46.4	2000	OMM-19C-05
15	HD37306	05:37:08.72	-11:46:31.8	2000	OMM-19C-05
16	HD38858	05:48:34.94	-04:05:40.72	2000	OMM-19C-05
17	9Gem	06:16:58.0	+23:44:26.0	2000	OMM-19C-05
18	GammaGem	06:37:42.7	+16:23:57.0	2000	OMM-19C-05
19	HD48682	06:46:44.34	+43:34:38.74	2000	OMM-19C-05
20	HD57703	07:23:04.61	+18:16:24.28	2000	OMM-19C-05
21	BetaGem	07:45:18.0	+28:01:33.0	2000	OMM-19C-05
22	HD76582	08:57:34.7	+15:34:50.4	2000	OMM-19C-05
23	HD84870	09:49:02.85	+34:05:07.4	2000	OMM-19C-05
24	BetaLeo	11:49:02.10	+14:34:22.9	2000	OMM-19C-05
25	HD104860	12:04:33.73	+66:20:11.71	2000	OMM-19C-05
26	HD107146	12:19:06.50	+16:32:53.86	2000	OMM-19C-05
27	HD109085	12:32:04.23	-16:11:45.62	2000	OMM-19C-05
28	HD115617	13:18:24.31	-18:18:40.30	2000	OMM-19C-05
29	Arcturus	14:15:39.67	+19:10:56.67	2000	OMM-19C-05
30	HD125162	14:16:23.02	+46:05:17.90	2000	OMM-19C-05
31	HD143894	16:02:17.2	+22:48:16.2	2000	OMM-19C-05
32	HD147084	16:20:38.18	-24:10:09.6	2000	OMM-19C-05
33	HD154445	17:05:32.26	-00:53:31.5	2000	OMM-19C-05
34	HD161056	17:43:47.02	-07:04:46.59	2000	OMM-19C-05
35	HD165908	18:07:01.54	+30:33:43.7	2000	OMM-19C-05
36	Vega	18:36:56.03	+38:46:52.3	2000	OMM-19C-05
37	HD183143	19:27:26.56	+18:17:45.2	2000	OMM-19C-05
38	HD188119	19:48:13.2	+70:16:6.1	2000	OMM-19C-05
39	HD198478	20:48:56.29	+46:06:50.9	2000	OMM-19C-05
40	HD218396	23:07:28.72	+21:08:03.31	2000	OMM-19C-05
41	BetaUma	11:01:50.47	+56:22:56.73	2000	OMM-20A-02
42	HD11948	01:58:51.20	+55:34:54.1	2000	OMM-21B-02
43	HD122970	14:04:48.94	+05:24:51.5	2000	OMM-21B-02
44	HD161056	17:43:47.02	-07:04:46.59	2000	OMM-21B-02
45	HD172392	18:37:35.42	+47:58:53.3	2000	OMM-21B-02
46	HD211388	22:15:57.2	+37:45:9.8	2000	OMM-21B-02
47	HR8799	23:07:28.72	+21:08:03.30	2000	OMM-21B-02
48	M82	09:55:52.43	+69:40:46.93	2000	OMM-21B-03
49	M97	11:14:47.71	+55:01:08.48	2000	OMM-21B-03
50	M51	13:29:52.69	+47:11:42.93	2000	OMM-21B-03
51	M57	18:53:35.09	+33:01:44.88	2000	OMM-21B-03
52	NGC6888	20:12:07.00	+38:21:18.00	2000	OMM-21B-03
53	SH2-142	22:47:32.00	+58:02:54.00	2000	OMM-21B-03
54	Vega	18:36:56.03	+38:46:52.3	2000	OMM-21C-01
55	55Cyg	20:48:56.29	+46:06:50.88	2000	OMM-21C-01
56	HD40588	06:01:10.04	+31:02:04.27	2000	OMM-21C-06
57	HD59037	07:29:20.44	+28:07:05.79	2000	OMM-21C-06
58	HD62140	07:46:27.00	+62:49:49.50	2000	OMM-21C-06
59	HD137909	15:27:49.73	+29:06:20.52	2000	OMM-21C-06
60	HD158460	17:25:41.35	+60:02:54.22	2000	OMM-21C-06
61	HD159387	17:31:26.87	+54:21:20.80	2000	OMM-21C-06
62	HD164135	17:55:42.99	+61:23:45.39	2000	OMM-21C-06
63	HD166655	18:02:50.91	+75:47:24.69	2000	OMM-21C-06
64	HD176232	18:58:46.92	+13:54:23.94	2000	OMM-21C-06
65	HD197120	20:40:36.27	+29:48:19.98	2000	OMM-21C-06
66	HD201601	21:10:20.50	+10:07:53.68	2000	OMM-21C-06
67	HD40394	06:00:58.56	+47:54:06.92	2000	OMM-22A-02
68	HD224801	00:00:43.63	+45:15:12.0	2000	OMM-22B-03
69	HD25823	04:06:36.41	+27:35:59.64	2000	OMM-22B-03
70	HD27309	04:19:36.70	+21:46:24.56	2000	OMM-22B-03
71	HD32650	05:12:22.45	+73:56:48.04	2000	OMM-22B-03
72	HD42659	06:11:21.75	-15:47:35.01	2000	OMM-22B-03
73	HD65339	08:01:42.44	+60:19:27.81	2000	OMM-22B-03
74	HD89822	10:24:07.85	+65:33:59.12	2000	OMM-22B-03
75	HD110066	12:39:16.86	+35:57:07.05	2000	OMM-22B-03
76	HD118022	13:34:07.93	+03:39:32.27	2000	OMM-22B-03
77	HD124224	14:12:15.8	+02:24:33.95	2000	OMM-22B-03
78	HD140160	15:41:47.41	+12:50:51.09	2000	OMM-22B-03
79	HD148112	16:25:24.95	+14:01:59.76	2000	OMM-22B-03
80	HD176232	18:58:46.92	+13:54:23.96	2000	OMM-22B-03
81	HD196502	20:31:30.39	+74:57:16.6	2000	OMM-22B-03
82	HD200177	21:00:06.61	+48:40:45.98	2000	OMM-22B-03
83	HD204411	21:26:51.62	+48:50:06.59	2000	OMM-22B-03
84	HD204754	21:28:52.74	+55:25:07.34	2000	OMM-22B-03
85	HD205087	21:32:27.01	+23:23:40.5	2000	OMM-22B-03
86	HD209339	22:00:39.26	+62:29:16.06	2000	OMM-22B-03
87	HD210684	22:11:28.36	+32:05:09.9	2000	OMM-22B-03
88	HD213258	22:29:37.04	+35:56:15.56	2000	OMM-22B-03
89	HD221218	23:30:01.88	+21:32:58.38	2000	OMM-22B-03
90	HD221394	23:31:43.03	+28:24:12.55	2000	OMM-22B-03
